file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,46,css,3623a482,Khaleel Karim,2025-05-03,11:44:57,-07:00,2025-05-03T11:44:57-07:00,0,0
style.css,47,css,ab437383,Khaleel Karim,2025-05-03,11:21:18,-07:00,2025-05-03T11:21:18-07:00,0,11
style.css,48,css,ab437383,Khaleel Karim,2025-05-03,11:21:18,-07:00,2025-05-03T11:21:18-07:00,0,54
style.css,49,css,ab437383,Khaleel Karim,2025-05-03,11:21:18,-07:00,2025-05-03T11:21:18-07:00,0,49
style.css,50,css,ab437383,Khaleel Karim,2025-05-03,11:21:18,-07:00,2025-05-03T11:21:18-07:00,0,50
style.css,51,css,ab437383,Khaleel Karim,2025-05-03,11:21:18,-07:00,2025-05-03T11:21:18-07:00,0,12
style.css,52,css,3623a482,Khaleel Karim,2025-05-03,11:44:57,-07:00,2025-05-03T11:44:57-07:00,0,51
style.css,53,css,3623a482,Khaleel Karim,2025-05-03,11:44:57,-07:00,2025-05-03T11:44:57-07:00,0,56
style.css,54,css,ab437383,Khaleel Karim,2025-05-03,11:21:18,-07:00,2025-05-03T11:21:18-07:00,0,0
style.css,55,css,3623a482,Khaleel Karim,2025-05-03,11:44:57,-07:00,2025-05-03T11:44:57-07:00,0,0
style.css,56,css,ab437383,Khaleel Karim,2025-05-03,11:21:18,-07:00,2025-05-03T11:21:18-07:00,0,16
style.css,57,css,ab437383,Khaleel Karim,2025-05-03,11:21:18,-07:00,2025-05-03T11:21:18-07:00,0,41
style.css,58,css,ab437383,Khaleel Karim,2025-05-03,11:21:18,-07:00,2025-05-03T11:21:18-07:00,0,43
style.css,59,css,ab437383,Khaleel Karim,2025-05-03,11:21:18,-07:00,2025-05-03T11:21:18-07:00,0,74
style.css,60,css,ab437383,Khaleel Karim,2025-05-03,11:21:18,-07:00,2025-05-03T11:21:18-07:00,0,49
style.css,61,css,ab437383,Khaleel Karim,2025-05-03,11:21:18,-07:00,2025-05-03T11:21:18-07:00,0,73
style.css,62,css,ab437383,Khaleel Karim,2025-05-03,11:21:18,-07:00,2025-05-03T11:21:18-07:00,0,0
style.css,63,css,ab437383,Khaleel Karim,2025-05-03,11:21:18,-07:00,2025-05-03T11:21:18-07:00,0,0
style.css,64,css,e732a717,Khaleel Karim,2025-04-11,18:11:21,-07:00,2025-04-11T18:11:21-07:00,0,4
style.css,65,css,e732a717,Khaleel Karim,2025-04-11,18:11:21,-07:00,2025-04-11T18:11:21-07:00,0,13
style.css,66,css,e732a717,Khaleel Karim,2025-04-11,18:11:21,-07:00,2025-04-11T18:11:21-07:00,0,18
style.css,67,css,e732a717,Khaleel Karim,2025-04-11,18:11:21,-07:00,2025-04-11T18:11:21-07:00,0,24
style.css,68,css,e732a717,Khaleel Karim,2025-04-11,18:11:21,-07:00,2025-04-11T18:11:21-07:00,0,26
style.css,69,css,90cef5d3,Khaleel Karim,2025-04-18,17:38:58,-07:00,2025-04-18T17:38:58-07:00,0,40
style.css,70,css,90cef5d3,Khaleel Karim,2025-04-18,17:38:58,-07:00,2025-04-18T17:38:58-07:00,0,40
style.css,71,css,e732a717,Khaleel Karim,2025-04-11,18:11:21,-07:00,2025-04-11T18:11:21-07:00,0,0
style.css,72,css,e732a717,Khaleel Karim,2025-04-11,18:11:21,-07:00,2025-04-11T18:11:21-07:00,0,2
style.css,73,css,e732a717,Khaleel Karim,2025-04-11,18:11:21,-07:00,2025-04-11T18:11:21-07:00,0,7
style.css,74,css,e732a717,Khaleel Karim,2025-04-11,18:11:21,-07:00,2025-04-11T18:11:21-07:00,0,21
style.css,75,css,e732a717,Khaleel Karim,2025-04-11,18:11:21,-07:00,2025-04-11T18:11:21-07:00,0,14
style.css,76,css,e732a717,Khaleel Karim,2025-04-11,18:11:21,-07:00,2025-04-11T18:11:21-07:00,0,18
style.css,77,css,e732a717,Khaleel Karim,2025-04-11,18:11:21,-07:00,2025-04-11T18:11:21-07:00,0,14
style.css,78,css,e732a717,Khaleel Karim,2025-04-11,18:11:21,-07:00,2025-04-11T18:11:21-07:00,0,0
style.css,79,css,e732a717,Khaleel Karim,2025-04-11,18:11:21,-07:00,2025-04-11T18:11:21-07:00,0,0
style.css,80,css,e295b9df,Khaleel Karim,2025-04-11,18:25:32,-07:00,2025-04-11T18:25:32-07:00,0,10
style.css,81,css,e732a717,Khaleel Karim,2025-04-11,18:11:21,-07:00,2025-04-11T18:11:21-07:00,0,26
style.css,82,css,e732a717,Khaleel Karim,2025-04-11,18:11:21,-07:00,2025-04-11T18:11:21-07:00,0,26
style.css,83,css,90cef5d3,Khaleel Karim,2025-04-18,17:38:58,-07:00,2025-04-18T17:38:58-07:00,0,40
style.css,84,css,e732a717,Khaleel Karim,2025-04-11,18:11:21,-07:00,2025-04-11T18:11:21-07:00,0,0
style.css,85,css,e295b9df,Khaleel Karim,2025-04-11,18:25:32,-07:00,2025-04-11T18:25:32-07:00,0,0
style.css,86,css,e295b9df,Khaleel Karim,2025-04-11,18:25:32,-07:00,2025-04-11T18:25:32-07:00,0,8
style.css,87,css,e295b9df,Khaleel Karim,2025-04-11,18:25:32,-07:00,2025-04-11T18:25:32-07:00,0,26
